"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1839559068957970847","Fri Sep 27 06:53:54 +0000 2024","0","Hahaha byk anak abah senang padahal klo dicermati dg kepala dingin ya iyalah wapres KH Mar'uf amin akan diganti wapres terpilih Mas Gibran ","1839559068957970847","","","in","","0","0","0","https://x.com/Jalu123B56325/status/1839559068957970847","1824968954953216000","Jalu123B56325"
"1839157174913871988","Fri Sep 27 06:53:38 +0000 2024","2","@Dayak2018 @DedynurPalakka @Ber_uang08 @gtobing2903 @prabowo @gibran_tweet @Kimberley_PS08 @mas_veel @florieliciouss @BANGSAygSUJUD @are_inismyname @DarekaRendy @drReUtari08 @Epricila10 @FDonghun @bengkeldodo Wkwkwkwkwkw @DedynurPalakka kamu aja bisa mencla mencle wkwkwkwkw","1839559001983594781","","Dayak2018","in","Jl darusalam 13 Bogor ","0","1","0","https://x.com/LukmanRudianto/status/1839559001983594781","982403654","LukmanRudianto"
"1839492402538819672","Fri Sep 27 06:46:14 +0000 2024","0","@secr3thm4nz56 La gibran e gak ngaku kuwi akunne ngeles jare gak bisa apa apa kok... Kata Rocky gerung.","1839557140597641362","","secr3thm4nz56","in","Kudus, Jateng, indonesia","0","0","0","https://x.com/MGhani39013315/status/1839557140597641362","1651569114257977345","MGhani39013315"
"1839497901677916541","Fri Sep 27 06:41:46 +0000 2024","0","@JhonSitorus_18 Emang kenapa kalo ternyata mas gibran. Ga akan ngaruh juga buat pelantikan beliau.","1839556017765683666","","JhonSitorus_18","in","","0","0","0","https://x.com/AdeNoe183728/status/1839556017765683666","1752017068223045632","AdeNoe183728"
"1839492321777438973","Fri Sep 27 02:47:47 +0000 2024","0","@PartaiSocmed Ya di gantilah dari Ma'aruf Amien ke Gibran Rakabuming ","1839497133751501001","","PartaiSocmed","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/Se_Na_Sionalis/status/1839497133751501001","2883147836","Se_Na_Sionalis"
"1839157174913871988","Fri Sep 27 02:31:30 +0000 2024","0","@Dayak2018 @Ber_uang08 @DedynurPalakka @gtobing2903 @prabowo @gibran_tweet @Kimberley_PS08 @mas_veel @florieliciouss @BANGSAygSUJUD @are_inismyname @DarekaRendy @drReUtari08 @Epricila10 @FDonghun @bengkeldodo Harusnya yg dulu ngehina Prabowo minta maaf dl ya beserta alasannya knp dl ngehina","1839493035056570391","","Dayak2018","in","","0","0","0","https://x.com/booster_lah/status/1839493035056570391","2887234681","booster_lah"
"1839247133347569677","Fri Sep 27 02:29:13 +0000 2024","2","@RomeoWalker19 Tetep jadi wapres ya mas gibran","1839492462097948833","","RomeoWalker19","in","","0","1","0","https://x.com/sebastianfend/status/1839492462097948833","998523043642142720","sebastianfend"
"1839088399699030389","Fri Sep 27 01:59:49 +0000 2024","3","@oblosid @Cak_Kancil007 @H1m4_W4r1 @JoeSamsung6 @JhonSitorus_18 @jokowi @gibran_tweet @kaesangp @bobbynasution_ @StefanAntonio__ @DS_yantie @_sekarkinanthi_ @EviDrajat @Bams_4GP @ChainsawSimple @bawa_santai_aja @Dargomb33306384 @TutupG56821 @8_FERRY_8 @KangManto123 @veraagustian_ @feroferraferri @bengkeldodo @paman_samsul @mas_veel @PartBurungGalak @psi_id @Dennysiregar7 @TrisiyoWong @Bambangmulyonoo @Uki23 @Duren___ @DedynurPalakka @grace_nat @RajaJuliAntoni @CherylTanzil @Ghurem2 @KaesangP_ @PreciosaKanti @fadjroeL @islah_bahrawi @Beritasatu @jakpost @okezonenews @TonightShow_NET @jawapos @Google @g4b0ng0ku73 @sukardiyahya162 Iya kan ini... https://t.co/vwt8dFixIm","1839485062162886766","","oblosid","in","","0","1","2","https://x.com/Pemburu_Celeng/status/1839485062162886766","1594763689772875776","Pemburu_Celeng"
"1839273353791918137","Fri Sep 27 01:45:12 +0000 2024","1","@MhdBambaNgPragO @sukmawijaya91 @BANGSAygSUJUD @prabowo @are_inismyname @florieliciouss @Kevanlie88 @Ndons_Back @99propaganda @mas_veel @Ber_uang08 @genx36545403 @yusufagro @gtobing2903 @jokowi @gibran_tweet @kompasiana @psi_id @DPP_PROJO @budimuni98 @NasbiHasan @KemensetnegRI @bobbynasution_ @grace_nat @TsamaraDKI @praburevolusi @DedynurPalakka @Projo_Pusat @budimandjatmiko @kangdede78 @kurawa @muannas_alaidid @sigitwid @RajaJuliAntoni @kaesangp @UGMYogyakarta Tuh kan nyebelin saya ikut blok juga deh Maaf yaa","1839481382067642628","","MhdBambaNgPragO","in","Indonesia","0","1","1","https://x.com/shda_agatha_/status/1839481382067642628","966143130","shda_agatha_"
"1839088399699030389","Fri Sep 27 01:29:35 +0000 2024","3","@Pemburu_Celeng @Cak_Kancil007 @H1m4_W4r1 @JoeSamsung6 @JhonSitorus_18 @jokowi @gibran_tweet @kaesangp @bobbynasution_ @StefanAntonio__ @DS_yantie @_sekarkinanthi_ @EviDrajat @Bams_4GP @ChainsawSimple @bawa_santai_aja @Dargomb33306384 @TutupG56821 @8_FERRY_8 @KangManto123 @veraagustian_ @feroferraferri @bengkeldodo @paman_samsul @mas_veel @PartBurungGalak @psi_id @Dennysiregar7 @TrisiyoWong @Bambangmulyonoo @Uki23 @Duren___ @DedynurPalakka @grace_nat @RajaJuliAntoni @CherylTanzil @Ghurem2 @KaesangP_ @PreciosaKanti @fadjroeL @islah_bahrawi @Beritasatu @jakpost @okezonenews @TonightShow_NET @jawapos @Google @g4b0ng0ku73 @sukardiyahya162 Gebukin d hajar.... https://t.co/tXKn3IHnKx","1839477454819438689","https://pbs.twimg.com/tweet_video_thumb/GYci_WibwAATNNG.jpg","Pemburu_Celeng","in","","0","2","0","https://x.com/oblosid/status/1839477454819438689","1682947690311852032","oblosid"
"1839169702352007487","Fri Sep 27 01:11:23 +0000 2024","0","@99propaganda @AndreasSolusi @BANGSAygSUJUD @Bank_Joee_ @Ber_uang08 @Ndons_Back @florieliciouss @are_inismyname @Lembayung071 @DarekaRendy @gibran_tweet Prabowo udh punya tim strategis yg pasti akan rencanain Prabowo tidak diganggu dan sepenuhnya mengendalikan . Harap dipahami Wapres tetaplah wakil tugasnya tergantung pemberian si penguasa: Prabowo. Jadi gak usah ngarep2 banyak tjuk..","1839472875780350391","","99propaganda","in","","0","0","0","https://x.com/MasBroJowoNKRI/status/1839472875780350391","1233612866852286467","MasBroJowoNKRI"
